,smiles
0,COC(=O)C1CC2=C(C)C(=O)C3C(C)(CCC4(C)CCC(=O)C34C)C2(C)C1C
1,COC(=O)C1=C(C)CC2C3C4C(C)(CCC5CCC54C)CCC3(C)C(=O)C(=O)C2(C)C1=O
2,COC(=O)C1(C)C2CCC3(C)C(CCC4C(C)(C)C(=O)CCC43C)C2(C)CC(=O)C1(C)C
3,CC1(C)C(=O)C(=O)C2(C)CC(=O)CCC12
4,COC(=O)C1(C)CC2(C)C3=C4C(CC3CCC4(C)C3(C)CCC(=O)C(C)(C)C3=O)C(C)CC12
5,COC(=O)C1CCC2(C)C(C1)C(=O)C1C3(C)CCC(C)(C)C(C)C3=CC(=O)C12C
6,CC1(C)CCC2C3C(=O)C(=O)C(C)(C)C3(C)CCC3(C)C(=CCC4CC43C)C2(C)C1=O
7,COC(=O)C1(OC)C(=O)C(=O)C(C)(C)C2CCC3(C)C(CCC4C5(C)CC(C)C(C)=C5CCC43C)C21C
8,COC(=O)C1CC(C(=O)OC)C2(C)C(=O)CC3(C)C(CCC4(C)C(=O)CCC43C)C2=C1C
9,COC(=O)C1(C)CC2(C)C(C(C)=O)CCC2(C)C2(C)CCC3C=C(C)C(=O)C(=O)C3(C)C(=O)CC12
10,CC1=C2C(CCC3(C)C4CCC5(C)CCC5(C)C4CC(=O)C23C)C(C)(C)C(=O)C1=O
11,COC(=O)C1C(=O)CCC2(C)C3CCC4CC(C)=C5C(=O)C(C)(C)CC5C4(C)C3(C)CCC12C
12,CC1=C2C3(C)CCC4C(C)(C)C(=O)CCC4(C)C2(C)CCC(C1=O)C1(C)CC(=O)C(C)(C)C31
13,COC1CC2C3(C)CCC4C(C)(C)C(=O)C(=O)C4(C)C3CCC2(C)C2(C)CCC(=O)C(C)=C12
14,CC(=O)C1CCC2(C)C(=C1C)CCC1C3CC(=O)C4CC(C)(C)CCC4(C)C3(C)C(=O)C(=O)C12C
15,COC(=O)C1CC(=O)C(C)(C)C2CC3=C(C)C(=O)C(=O)C34CCC4(C)C12C
16,COC(=O)C1CC2=C(C)CC3C(CCC4(C)C3(C)CCC3C(C)(C)C(=O)CCC34C)C2(C)C(=O)C1=O
17,COC(=O)C1CC2C(C)(C)C(=O)CCC2(C)C2CC3=C(C)C(=O)C(C)(C)CC3(C)C12C
18,COC(=O)C1=C(C)C(=O)C2(C)C3CCC4C(C)(C)C(=O)CC4(C)C3CCC3(C)CCC(=O)C(C)(C)C32C1
19,COC(=O)C1=C2C(C)(C)C(C(=O)OC)CCC2(C)C2(C)CCC3C(C)(C)C(=O)CCC3(C)C2C1=O
20,COC(=O)C12CCC3C(C)(CCC4(C)C5=C(C)C(=O)C(=O)C(C)(C)C5CC34C)CC1C2
21,COC(=O)C1=C(C)C2(C)C(CCC3(C)C2C(=O)CC2C(C)(C)C(=O)CCC23C)C(C)(C)C1=O
22,COC(=O)C1CC2(C)C(=C(C)C1=O)C(=O)CC1C3(C)CCC(=O)C(C)(C)C3CCC12C
23,COC(=O)C1(C)CCC2CCC3C(C)(CCC4(C)CC(C)=C5C(=O)C(=O)C(C)(C)C5C34C)C21
24,COC(=O)C1(C)C(=O)C(C2(C)CCC3(C)C(=O)CC4(CCC5CCC54C)C(=O)C(C)=C32)CC1C
25,COC(=O)C1=C(C)C(=O)C(C)(C)C2CCC3(C)C4(C)CC(=O)C(=O)C4CCC3(C)C2C1
26,COC(=O)C1(C)C(=O)CCC2(C)C3=C(C)C4(C)C(C(C)C)CC(=O)C4(C)C3CCC21
27,COC(=O)C1=C(C)CC2(C)CCC3C(C)(C(=O)C(=O)C4(C)C(=O)CCC34C)C2C1
28,COC(=O)C1C(=O)C(C)(C)C2CCC3(C)C(CCC4(C)C=C(C)C(=O)CC43C)C2(C)C1=O
29,COC(=O)C1=C(C(=O)OC)C2CCC3C4(C)CC(=O)C(C)(C)C(=O)C4C(C)(C)C3(C)C2(C)CC1
30,COC(=O)C1CC(C)(C)C2CCC3(C)C(CC=C4C5(C)CC(=O)C(=O)C(C)(C)C5CCC43C)C12C
31,COC(=O)C1=C(C)C(=O)CC2CCC3(C)C4CC(C)C(C)(C(=O)OC)C(=O)C4(C)C3C12C
32,COC(=O)C1CC2(C)C(CCC3(C)C2C(=O)C(C)=C2C(=O)C(C)(C)CCC23C)C1(C)C
33,COC(=O)C1(C)CC2C(=C(C)C1=O)C(C)(C)CC1CC3C4(C)CCC(=O)C(C)(C)C4CCC123
34,COC(=O)C1=C(C)C(=O)CC23CCC4C(C)(C)C(=O)C(=O)C4(C)C2(C)CCC13
35,COC(=O)C1C(=O)CC2(C)CCC3C4C(C)=C(C)C(=O)C(=O)C4(C)CCC3C2(C)C1(C)C
36,COC(=O)C1C(=O)C(C)=C2C3(C)CCC4CC(C5(C)CCC(C)(C)C5C3)C2(C)C4(C)C1=O
37,COC(=O)C1CC2=C(C)C(=O)CCC2(C)C2CCC3(C)C(=O)C(=O)C(C)(C)C3C12C
38,COC(=O)C1CCC2C1=C(C)C1(C)C2(C)CCCC2C3(C)CC(=O)C(=O)C(C)(C)C3CCC21C
39,COC(=O)C1CC2C34C(=O)C(C)=C3CC3C(C)(C)C(=O)CCC3(C)C4CCC2(C)C1(C)C
40,COC(=O)C1=C(C)C2(C)CCC3(C)C(C(=O)CC4C(C)(C)C(=O)CCC43C)C2C1
41,COC(=O)C1C(=O)CC2(C)C1CC(C)=C1C3(C)CCC(=O)C(C)(C)C3CCC12C
42,COC(=O)C1=C(C)C(=O)C2(C)C1CCC1C3(C)CC(C)(C)C(=O)C(C)(C(=O)OC)C3CCC12C
43,COC(=O)C1=C(C)C2CCC3(C)C2CCC3(C)C2(C)CCC3C(C)(C)C(=O)C(=O)C3(C)C2C1
44,COC(=O)C1C(=O)C(=O)C2(C)CCC3(C)C(C(=O)C(C)=C4CCC(C)(C)C43C)C12
45,COC(=O)C1C(=O)C(=O)C2C3(C)CCC4(C)C(CC1C23C)C(=O)CC1=C(C)CCCC14C
46,COC(=O)C1CC2(C)C(CC3C4(C)CCC(=O)C(C)(C)C4CCC32C)C2(C)CC(=O)C(C)=C12
47,COC(=O)C12CC=C(C)C3CC(C)C4(C)CCC1C(C)(CC2)C4(C)C(=O)C3=O
48,COC(=O)C1=C(C)C2(C)CCC3C4(C)CC(=O)C(=O)C(C)(C)C4CCC3(C)C2C1
49,COC(=O)C(=O)C1C(=O)CCC2(C)C3CCC4(C)CCC4(C)C3CC(=O)C12C
50,COC(=O)C(=O)C1=C(C)C2(C)CCC3C4(C)CC(=O)C(C)(C)C4CC(=O)C3(C)C2CC1
51,COC(=O)C1=C2C3C4C(CCC3(C)CCC2(C)CC1=O)C(C)(C)C(=O)C(=O)C4(C)C
52,COC(=O)C12CCC3(C)C(=C(C)CC4C3CCC3C(C)(C)C(=O)CCC43C)C1(C)CC(=O)C2=O
53,CC1=C(C)C2(C)CCC3C4CC(C(C)=C5C(C)(C)CCC(=O)C5(C)C)C3(C)CCC42C1=O
54,COC(=O)C1CC2(C)C(C)(C)CCC2(C)C2=C(CC2)C2CCC(=O)C(C)(C)C2CC1=O
55,COC(=O)C1=C(C)CC2C(C)(CCC3C4(C)CC(=O)C(=O)C(C)(C)C4CCC23C)C1=O
56,COC(=O)C1=C(C)C2CCC3(C)C(CCC4(C)C(C)(C)C(=O)C(=O)CC34C)C2(C)CC1=O
57,COC(=O)C(=O)C1(C)CCC2(C)C1CCC1(C)C2CCC2C(C)(C)C(=O)C(=O)CC21C
58,CC1=C(C(=O)C2(C)CCC3CC4(C)C5(C)CCC(=O)C(C)(C)C5CCC4(C)C32)CC(=O)C1=O
59,CC1=C2CC3(C)C(CCC4C(C)(C)C(=O)CCC43C)C2(C)CC(OC(=O)c2ccc(=O)n(C)c2C)C1=O
60,COC(=O)C1C(=O)C2C(C)(CCC3(C)C4CCC(=O)C4(C)C(C)CC23C)C1=O
61,COC(=O)C1=C(C)C2(C)CCC3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C2C1=O
62,COC(=O)C1=C(C)CC2C(C1)C(=O)C1(C)C2(C)CCC2C(C)(C)C(=O)C(=O)CC21C
63,COC(=O)C1(C)CCC2(C)C(=O)C(C)=C3C(=O)CC4C(=O)C(C(=O)O)CCC4(C)C3(C)C12
64,CC1=C(C(=O)C2CCC3(C)CC(=O)C3C2)C2(C)CCC3C(C)(C)C(=O)CCC3(C)C2(C)C1=O
65,COC(=O)C1=C(C)C2CC3C4(C)CCC(=O)C(C)(C)C4C(=O)C(=O)C3(C)C(C)(CCC2(C)C)C1
66,COC(=O)C1CC2C(=O)CCC2(C(=O)OC)C2=C(C)CC3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C21C
67,COC(=O)C1(C)CCC2(C)C1CCC1(C)C3C(=C(C)C(=O)C(=O)C3(C)C)CCC12
68,COC(=O)C1(C)CCC2(C)C1CCC1(C)C2CC(C)=C2C3C(=O)C(C)(C)C(=O)CC3(C)CCC21C
69,COC(=O)C1CC2C3=CCC4C(C)(C)C(=O)C(=O)C(C(=O)OC)C4(C)C3(C)CCC12C
70,COC(=O)C1CC2(C)CCC3(C)C4C(=C(C)CC3C2(C)C1)CC(=O)C(=O)C4(C)C
71,COC(=O)C1=C(C)C2CCC3(C)C(CCC4C(C)(C)C(=O)CCC43C)C2(C)C(=O)C1=O
72,CCC(=O)C1CC2(CC3(C)CC4C(C)(C)C(=O)CCC4(C)C2C(C(=O)OC)=C(C)C3=O)C1=O
73,COC(=O)C1CC2(C)C(CC3C(C)(C)C(=O)CCC32C)C2=C(C)C(=O)C3(C)CC(C)(C)CC3C21C
74,COC(=O)C1=C(C)C(=O)CC2(C)C1CCC1C2CCC2C(C)(C)C3CC(C)(C)C(=O)C(=O)C3(C)CC12C
75,COC(=O)C1CC2=C(C)C(=O)C3C4(C)CCC(C)(C)C4CCC3(C)C2(C)C(C)(C)C1=O
76,COC(=O)C1CC2C(C)(C)C(=O)CCC2(C)C2(C)CCC3=C(C)C(=O)C(C)(C)C3C12C
77,COC(=O)C1=C(OC)C2(C)C(CCC3C4(C)CCC(=O)C(C)(C)C4CCC32C)C(C)(C)C1=O
78,COC(=O)C1=CC(=O)C2C(C)(CCC3C2(C)CCC2(C)C(=O)CCC32C)C(C)C1
79,COC(=O)C(=O)C12CC3(C)C4CCC(=O)C(C)(C)C4CCC3(C)C1C(=O)C(C)=C2C
80,COC(=O)C(=O)C1(C)CCC2C(C=C(OC)C3(C)C2(C)CCC2C(C)(C)CC(=O)C23C)C1=O
81,COC(=O)C1C(=O)CC2(C)C(=O)C3(CCC(=O)C3(C)C)CCC2(C)C2CC(C)=C3CC3(C)C12
