,smiles,logp,tpsa,sub_similarity,qed,hba,hbd,molwt,gasa_score
0,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C1(C)C3(C)CC1(C)C2(C)CC(=O)C(C)=C3C,4.392,77.51,1,0.352963818,5,0,426.2406242,0.102168247
1,COC(=O)C1=C(C)C2(C)C(=O)C3C(CC(C)(C1=O)C2=O)C1(C)CCC(C)(C)CCC31C,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.033983171
2,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CCC3CC4C(C)C(=O)C4(C)CCCC32C)C1=O,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.292576671
3,COC(=O)C1=C(C)C2(C)CCCC3C(C)(C)C4(C)C(=O)C(C)(CC(C)(C1=O)C2=O)C34C,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.02957318
4,CCC1(C)CCC2(C)C3CCC2(C)C1(C)C(=O)C1(C)C(=O)C(C(=O)OC)=CC3(C)C1=O,4.4719,77.51,0.961389961,0.368317426,5,0,428.2562743,0.385203093
5,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C1CCC3(C)C(C)(C)C(=O)CCC3(C)C12C,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.539388955
6,COC(=O)C1=C(C)C2C(=O)C(C)(C1=O)C1CCCCC3CCC2(C)C(C)(C)C3(C)C1=O,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.145007208
7,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CCCC3(C)C4CCC(C)(C2=O)C3C4(C)C)C1=O,4.4719,77.51,0.299227799,0.349746014,5,0,428.2562743,0.169829518
8,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CCC(C)(C(F)F)CCCC(=O)C2(C)C)C1=O,4.4711,77.51,0.961389961,0.369833499,5,0,426.2217806,0.068196058
9,COC(=O)C1=C(C)C2C(=O)C(C)(CCCCC3CC4(C)C(C)(C)C4(C)C(=O)C32C)C1=O,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.014910945
10,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CC(=O)C3CC4(C)CCCC3(C)C(C)C42C)C1=O,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.071047068
11,COC(=O)C1=C(C)C2(C)CCC3C(C)(C)CC(=O)CC4(C)C3(C)C4(C)C(C)(C1=O)C2=O,4.4719,77.51,0.299227799,0.349746014,5,0,428.2562743,0.182247579
12,COC(=O)C1=C(C)C2(C)CC(C)(C1=O)C1(C)CC2(C)C2(C)CC(=O)C2CC(C)(C)C1=O,4.4719,77.51,0.208494208,0.454761323,5,0,428.2562743,0.021704055
13,COC(=O)C1=C(C)C(C)(C2(C)CC=C(C)C2=O)CC2CCC(C)(C1=O)C1(C)C(=O)C21C,4.392,77.51,0.544401544,0.483315172,5,0,426.2406242,0.416855127
14,CCOC(=O)C1=C(C)C2(C)CC34CCC3(C)C=CC(=O)C(C)=CC4(C)C(C)(C1=O)C2=O,4.3121,77.51,0.314671815,0.374939314,5,0,424.2249741,0.168504864
15,C=C(F)CC=C1CC2(C)CCC3(C)C(=O)C(C)(C(=O)C(C(=O)OC)=C3C)C1(C)CC2=O,4.6093,77.51,0.961389961,0.282810083,5,0,430.2155523,0.087215371
16,COC(=O)C1=CC2(C)C(=O)CC3(C)C4C(C)(C)CCC4(C)CC3(C)CC(C)(C1=O)C2=O,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.067054264
17,COC(=O)C1=C(C)C2C(=O)C3(C)C(C)=C(C)C(=O)C(C)(C)C(C)C3C(C)(C1=O)C2(C)C,4.4939,77.51,0.22007722,0.454070592,5,0,428.2562743,0.050313704
18,COC(=O)C1=C(C)C2(C)CC3CCC(C)(C)C(C)(CC3)C3C(=O)C3(C)C(C)(C1=O)C2=O,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.005872745
19,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C(=O)C1(C)C2CC2(C)CCC(C)(C)C1(C)C2,4.4719,77.51,1,0.349746014,5,0,428.2562743,0.028400498
20,COC(=O)C1=C(C)C2(C)C(=O)C(C1=O)C(C)C(C)(C)C1(C)C(C)(C)C(=O)CCC21C,4.3278,77.51,0.299227799,0.361195682,5,0,416.2562743,0.018616792
21,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C1(C)CCC3CC(C)(C)C(C)(C)C1(C3)C2=O,4.4719,77.51,0.314671815,0.349746014,5,0,428.2562743,0.0174555
22,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C1C3CCC(=O)C(C)=C(C)C3(C)CCC12C,4.392,77.51,0.299227799,0.352963818,5,0,426.2406242,0.154718235
23,COC(=O)C1=C(C)C2(C)C(=O)C(C1=O)C1(C)CC2C2(C)CCC(=O)C(C)(C)C1(C)CC2,4.4719,77.51,1,0.349746014,5,0,428.2562743,0.041883789
24,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C1C(=O)C=CC(C)(C)CCC1C(C)C2(C)C,4.4939,77.51,0.299227799,0.34921479,5,0,428.2562743,0.318170905
25,COC(=O)C1=C(C)C2(C)CCCC3C4C3(C)C(=O)C4(C)C(C)(C)CCC(C)(C1=O)C2=O,4.4719,77.51,0.299227799,0.349746014,5,0,428.2562743,0.025619054
26,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CC3C(=O)C4(C)CCC(C)(CC3(C)C)C42C)C1=O,4.4719,77.51,0.299227799,0.349746014,5,0,428.2562743,0.119152367
27,CCCC1(C)C(=O)C(C)(C)C2C3C4(C)C(=O)C(C(=O)OC)=C(C)C(C)(CC1C23C)C4=O,4.3278,77.51,0.299227799,0.379857602,5,0,428.2562743,0.008856635
28,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C1C(C)(CCC3(C)C(=O)CCCC13C)C2C,4.4719,77.51,0.314671815,0.349746014,5,0,428.2562743,0.05036163
29,COC(=O)C1=C(C)C2(C)CCCC3(C)C4C(=O)C(C)(C)CCC4(C)C3C(C)(C1=O)C2=O,4.4719,77.51,0.299227799,0.349746014,5,0,428.2562743,0.099675573
30,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CC3(C)C(C)(CCC4CC(C)(C)C43C)C2=O)C1=O,4.4719,77.51,0.299227799,0.349746014,5,0,428.2562743,0.107036799
31,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C1(C)CC3CCCC(C)(C)C3(C)C1(C)C2=O,4.4719,77.51,1,0.349746014,5,0,428.2562743,0.01653282
32,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C1(C)CCC(=O)C3CCC3(C)CC1(C)C2C,4.4719,77.51,1,0.349746014,5,0,428.2562743,0.073418491
33,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CCC3(C)C2CC(=O)C(C)C2(C)CCC23C)C1=O,4.4719,77.51,0.299227799,0.349746014,5,0,428.2562743,0.116509564
34,CCOC(=O)C1=C(C)C2(C)C(=O)C(C)(CC3C4CC(C)(CCC(C)(C)C32C)C4=O)C1=O,4.4719,77.51,0.314671815,0.368317426,5,0,428.2562743,0.006389456
35,COC(=O)C1=C(C)C2(C)CCCC3C4C(C)(C)CCC4(C)C(=O)C3(C)C(C)(C1=O)C2=O,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.15063487
36,COC(=O)C1=C(C)C2(C)CC3(C)C(=O)C4(C)CCCC(C)(C(C)(C1=O)C2=O)C(C)(C)C43,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.037141696
37,COC(=O)C1=C(C)C2C(=O)C(C)(C1=O)C13CCC(C)CC2(C)C1(C)CCC(=O)C3(C)C,4.4719,77.51,1,0.349746014,5,0,428.2562743,0.100857817
38,COC(=O)C1=C(C)C2(C)CC3C(C)(C)C4(C)CC(=O)CC4(C)C3(C)CC(C)(C1=O)C2=O,4.4719,77.51,0.299227799,0.349746014,5,0,428.2562743,0.030888086
39,CCCC1(C)C(=O)C2(C)C1CCC1(C)C3(C)C(=O)C(C)(C(=O)C(C(=O)OC)=C3C)C21C,4.4719,77.51,0.961389961,0.376435698,5,0,428.2562743,0.374422997
40,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C1(C)CC3(C)C2C(=O)CCC1(C)CC3(C)C,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.139083967
41,COC(=O)C1=C(C)C2(C)CC3(C)C4(C)CC(C)(CC3(C)C4(C)C)C(=O)C(C)(C1=O)C2=O,4.4719,77.51,0.299227799,0.349746014,5,0,428.2562743,0.04067602
42,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C1(C)CCC3C1CC(=O)CCCC3(C)C2C,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.179960638
43,COC(=O)C1=C(C)C2(C)CC(C)C3CC4(C)CCC(=O)C(C)(CCC4=O)C3C1(C)C2=O,4.4719,77.51,0.513513514,0.575918938,5,0,428.2562743,0.016147858
44,COC(=O)C1=C(C)C2(C)CC3(C)C4(C)CCC(C)(CC=C(C)C4=O)C3(C)C(C1=O)C2=O,4.392,77.51,1,0.352963818,5,0,426.2406242,0.003075896
45,COC(=O)C1=C(C)C2(C)CC3CCCC4(C)C(C)(C)C(=O)C3(C)C4(C)C(C)(C1=O)C2=O,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.092942931
46,COC(=O)C1=C(C)C2(C)C(=O)CC3C4(C)CCC(C(C)(C)CCC34C)C(C)(C1=O)C2=O,4.4719,77.51,0.299227799,0.349746014,5,0,428.2562743,0.430642158
47,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C(C)(C)C1(C)C2(C)CCC2(C)CC(=O)C21C,4.4719,77.51,1,0.349746014,5,0,428.2562743,0.521938443
48,COC(=O)C1=C(C)C2(C)CC3C4C(C)(CCC3(C)CC(C)(C1=O)C2=O)CC(=O)C4(C)C,4.4719,77.51,0.299227799,0.349746014,5,0,428.2562743,0.047444727
49,COC(=O)C1=C(C)C2(C)C(=O)C3(C)CCC4(C)C(CCC34C)C(C)(C)C(C)(C1=O)C2=O,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.594497502
50,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CC(C)(C)CC3(C)C4(C)CCC2C(=O)C43C)C1=O,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.287740618
51,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C1C(CCCCC3(C)CC(=O)C13C)C2(C)C,4.4719,77.51,1,0.349746014,5,0,428.2562743,0.197341815
52,C=C1CCCCC2C1(C)C(=O)C1(C)CC(C(C)=C(C(=O)OC)C1=O)C1(C)OCC(=O)C21C,3.7709,86.74,0.138996139,0.265903413,6,0,442.2355388,0.152070224
53,COC(=O)C1=C(C)C2(C)C(=O)C(CC3(C)CCC(C)(C)CC2C2(C)CC(=O)C32C)C1=O,4.4719,77.51,0.299227799,0.349746014,5,0,428.2562743,0.026194945
54,COC(=O)C1=C(C)C2(C)CC(=O)C(C3CCC(C)(C)C3)C(Cl)=C(C)C(C)(C1=O)C2=O,4.5684,77.51,0.299227799,0.361164332,5,0,434.1860018,0.106417
55,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CC3(C)CCC4C(CC4(C)C)CC3(C)C2=O)C1=O,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.037495617
56,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C1(C)CCC1(C)CC1(C)CCCC2(C)C1=O,4.616,77.51,0.961389961,0.346040807,5,0,428.2562743,0.223492622
57,COC(=O)C1=C(C)C2C(=O)C(C)(CCC34CCC2(C)C3(C)C(=O)C(C)(C)C4(C)C)C1=O,4.4719,77.51,0.299227799,0.349746014,5,0,428.2562743,0.063517541
58,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CCC3C4(C)C(=O)CCC(C)(C)C4(C)C32C)C1=O,4.4719,77.51,0.299227799,0.349746014,5,0,428.2562743,0.312830836
59,COC(=O)C1=C(C)C2(C)CC3C4=CC4=C(C)C(=O)C(C)(C)CCC3(C)C(C)(C1=O)C2=O,4.3121,77.51,1,0.356034012,5,0,424.2249741,0.158936843
60,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1)C(=O)C1(C)C3(C)CCC3C(C)(C)C(=O)CCC21C,4.862,77.51,0.314671815,0.427955406,5,0,442.2719243,0.467643648
61,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CC3(C)CCCCC4(C)CC2C(C3=O)C4C)C1=O,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.003592288
62,COC(=O)C1=C(C)C2(C)CC3(C)CCC4C(=O)C(C)(CC4(C)C)CC3(C)C(C1=O)C2=O,4.4719,77.51,0.314671815,0.349746014,5,0,428.2562743,0.020613838
63,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CCCCCC3(C)C4(C)CC(=O)C4CC23C)C1=O,4.616,77.51,0.961389961,0.346040807,5,0,428.2562743,0.057232834
64,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C1(C)CCC3(C)C(=O)CCC3C1(C)CC2C,4.4719,77.51,0.299227799,0.349746014,5,0,428.2562743,0.325880975
65,COC(=O)C1=C(C)C2(C)C(=O)CC3(C)C(C)(C)C4CCCC3(C)C4(C)C(C)(C1=O)C2=O,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.473810047
66,COC(=O)C1=C(C)C2(C)CC3CC(C)(C4C3CCCCC(=O)C4(C)C)C(C)(C1=O)C2=O,4.4719,77.51,0.299227799,0.349746014,5,0,428.2562743,0.117432252
67,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C(=O)C(C)(C)CCC1(C)CC2(C)C2CC21C,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.044271022
68,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CCC2(C)C(F)CCCC2(C)CCC2=O)C1=O,4.318,77.51,1,0.363328531,5,0,420.2312024,0.120956481
69,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C(=O)C1C3(C)CCC(C)(C)CC(C)(C3)C12C,4.4719,77.51,1,0.349746014,5,0,428.2562743,0.12307097
70,COC(=O)C1=C(C)C2(C)CC3(C)C(=O)CCC(C)(CC4CC(C)C43C)C(C)(C1=O)C2=O,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.09411107
71,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C1(C)CCC(C)(C)CCC3C2(C)C(=O)C31C,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.451875031
72,COC(=O)C1=CC2(C)C(=O)C(C)(CCCC3CC4C(C)(C)CCC4(C)C(=O)C32C)C1=O,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.220687881
73,COC(=O)C1=C(C)C2(C)CCC3(C)C4CC3(C)CCC(=O)C(C)C4(C)C(C)(C1=O)C2=O,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.040447988
74,COC(=O)C1=C(C)C2(C)CCCC3C(CC(=O)C4(C)C(C)(C)CC34C)C(C)(C1=O)C2=O,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.190226153
75,COC(=O)C1=C(C)C2(C)CC3(C)CCC(C)(C(C)(C1=O)C2=O)C1(C)CC(=O)C(C)(C)C31,4.4719,77.51,0.299227799,0.349746014,5,0,428.2562743,0.130062431
76,COC(=O)C1=C2CCC(=O)C3(C)CC4(C)CC(C)(C)C(=O)C(C)(C)C4(C)CC2C3C1=O,4.4719,77.51,0.652509653,0.454761323,5,0,428.2562743,0.066990688
77,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CCC3(C)C4(C)C(C)(C)CC(C)(C2=O)C34C)C1=O,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.107039027
78,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C(C)(C)CC1(C)CC2(C)C2(C)C(=O)CC12C,4.4719,77.51,0.299227799,0.349746014,5,0,428.2562743,0.159169644
79,COC(=O)C1=C(C)C2(C)CCC3C(=O)C(C)(C)C4CCC(C)(C4)C3(C)C(C)(C1=O)C2=O,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.227781355
80,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CC3(C)C(C)(C)C(=O)C4(C)CCC2(C)C43C)C1=O,4.4719,77.51,0.961389961,0.349746014,5,0,428.2562743,0.144243717
81,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C(C)(C)CC1C(=O)C3CCC(C)(CC3)C12C,4.4719,77.51,0.299227799,0.349746014,5,0,428.2562743,0.407441437
82,COC(=O)C1=C(C)C2(C)CCC3CCC4(C)CC(=O)C4CC(C)C3(C)C(C)(C1=O)C2=O,4.4719,77.51,0.299227799,0.349746014,5,0,428.2562743,0.468026936
83,COC(=O)C1=C(C)C2(C)CC3C(C)(C)C4CCCC(C)(CC3(C)C(C)(C1=O)C2=O)C4=O,4.4719,77.51,1,0.349746014,5,0,428.2562743,0.031211311
