,smiles,logp,tpsa,sub_similarity,qed,hba,hbd,gasa_score
0,COC(=O)C1=CC2(C)C(=O)C(C)(CC3(C)CCC4(C)C(CCC(=O)C4(C)C)C32C)C1=O,4.4719,77.51,1,0.349746014,5,0,0.23110202
1,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C(=O)C1(C)C3(C)CCC(C)(C)C3CC21C,4.0818,77.51,1,0.366980926,5,0,0.257154971
2,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O,4.4719,77.51,1,0.349746014,5,0,0.465305984
3,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC23C)C1=O,4.862,77.51,1,0.329130227,5,0,0.272060275
4,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C(=O)C2(C)C1(C)CCC2C1CCC1(C)CCC21C,4.4719,77.51,0.938223938,0.359599699,5,0,0.296330452
5,COC(=O)C1=CC2(C)CC3(C)CCC4C(C)(C)C(=O)CCC4(C)C3(C)C(C)(C1=O)C2=O,4.4719,77.51,1,0.349746014,5,0,0.265134007
6,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O,4.4719,77.51,1,0.349746014,5,0,0.465305984
7,COC(=O)C1=C(c2ccccc2)C2(C)C(=O)C3(C)CCC(C)(C)CC3(C)C(C)(C1=O)C2=O,4.583,77.51,1,0.385154874,5,0,0.400424808
8,COC(=O)C1=CC2(C)CCC3(C)C4(C)CCC(C)(C)C(=O)C4CCC3(C)C(C)(C1=O)C2=O,4.862,77.51,0.961389961,0.329130227,5,0,0.852699518
9,COC(=O)C1=CC2(C)CCC3(C)C4CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O,4.4719,77.51,0.961389961,0.349746014,5,0,0.720988631
10,COC(=O)C1=CC2(C)CC3(C)C4C(C)(CCC(=O)C4(C)C)CCC3(C)C(C)(C1=O)C2=O,4.4719,77.51,1,0.349746014,5,0,0.45780021
11,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1(C)C2(C)CCC2(C)C(C)(C)C(=O)CCC21C,4.4719,77.51,0.961389961,0.349746014,5,0,0.536663711
12,COC(=O)C1=CC2(C)CC3(C)C4(C)CC(=O)C(C)(C)C4CCCC3(C)C(C)(C1=O)C2=O,4.4719,77.51,1,0.349746014,5,0,0.07468044
13,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C(=O)C1(C)C2C(C)(C)C2CC(C)(C)CCC21C,4.3278,77.51,1,0.352925302,5,0,0.160301074
14,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CC3C4(C)CCC(=O)C(C)(C)C4CCC32C)C1=O,4.4719,77.51,0.314671815,0.349746014,5,0,0.157240272
15,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C1(C)CCC(=O)C3(C)CC(C)(CCC31)C2(C)C,4.862,77.51,0.299227799,0.329130227,5,0,0.168856978
16,COC(=O)C1=CC2(C)CC3C4(C)CCC(=O)CCC4(C)CCC3(C)C(C)(C1=O)C2=O,4.2259,77.51,1,0.364566111,5,0,0.140570551
17,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1(C)C(C)(C)C3CC(C)(C)CCC3(C)C1(C)C2=O,4.7179,77.51,1,0.333612739,5,0,0.389181614
