,smiles
0,COC(=O)C1=CC2(C)C(=O)C(C)(CC3(C)CCC4(C)C(CCC(=O)C4(C)C)C32C)C1=O
1,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C(=O)C1(C)C3(C)CCC(C)(C)C3CC21C
2,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
3,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC23C)C1=O
4,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C(=O)C2(C)C1(C)CCC2C1CCC1(C)CCC21C
5,COC(=O)C1=CC2(C)CC3(C)CCC4C(C)(C)C(=O)CCC4(C)C3(C)C(C)(C1=O)C2=O
6,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
7,COC(=O)C1=C(c2ccccc2)C2(C)C(=O)C3(C)CCC(C)(C)CC3(C)C(C)(C1=O)C2=O
8,COC(=O)C1=CC2(C)CCC3(C)C4(C)CCC(C)(C)C(=O)C4CCC3(C)C(C)(C1=O)C2=O
9,COC(=O)C1=CC2(C)CCC3(C)C4CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
10,COC(=O)C1=CC2(C)CC3(C)C4C(C)(CCC(=O)C4(C)C)CCC3(C)C(C)(C1=O)C2=O
11,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1(C)C2(C)CCC2(C)C(C)(C)C(=O)CCC21C
12,COC(=O)C1=CC2(C)CC3(C)C4(C)CC(=O)C(C)(C)C4CCCC3(C)C(C)(C1=O)C2=O
13,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C(=O)C1(C)C2C(C)(C)C2CC(C)(C)CCC21C
14,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CC3C4(C)CCC(=O)C(C)(C)C4CCC32C)C1=O
15,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C1(C)CCC(=O)C3(C)CC(C)(CCC31)C2(C)C
16,COC(=O)C1=CC2(C)CC3C4(C)CCC(=O)CCC4(C)CCC3(C)C(C)(C1=O)C2=O
17,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1(C)C(C)(C)C3CC(C)(C)CCC3(C)C1(C)C2=O
18,COC(=O)C1=CC2(C)C(=O)C(=O)C(C)(C1=O)C(C)(C)C1CCC(C)(C)C(C)(C)C12C
19,COC(=O)C1=CC2(C)CC3(C)C(CCC4(C)C(C)(C)C(=O)CCC34C)C(C)(C1=O)C2=O
20,COC(=O)C1=CC2(C)CC3C4C(C)(C)C(=O)C(C)(C)C4(C)CCC3(C)C(C)(C1=O)C2=O
21,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1CC(C)(C)CC3C(C)(C)C(=O)CCC3(C)C12C
22,COC(=O)C1=CC2(C)C(=O)C3C4(C)CCC(C)(C)CC4(C)CCC3(C)C(C)(C1=O)C2=O
23,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C(=O)C1(C)CC(C)(C)CC3(C)CCC2(C)C31C
24,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
25,COC(=O)C1=CC2(C)C(=O)C(C)(CCC3(C)C2C2(C)CCC(=O)C(C)(C)C2C3(C)C)C1=O
26,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1(C)CCC3C(C)(C)C(=O)C=CC3(C)C1C2(C)C
27,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C(=O)C1(C)CC3C(C)(C)CCC(C)(C)C3(C)C21C
28,COC(=O)C1=C(C)C2(C)CC3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
29,COC(=O)C1=CC2(C)C(=O)C3(C)CC4C(C)(CCC2(C)C4(C)CCC(=O)C3(C)C)C1=O
30,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
31,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C1(C)CCC(C)(C)C(C)(C)C1(C)C2=O
32,COC(=O)C1=CC2(C)CC3(C)CCC4CC(=O)CCC4(C)CCC3(C)C(C)(C1=O)C2=O
33,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C(C)(C)C1(C)CCC3C(C)(C)C(=O)CC3(C)C21C
34,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C(=O)C1(C)C3(C)CCC(C)(C)CC3CCC21C
35,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1(C)CCCC3(C)C(=O)CCC2(C)C(C)(C)C31
