,Unnamed: 0,smiles
0,0,COC(=O)C1=CC2(C)C(=O)C(C)(CC3(C)CCC4(C)C(CCC(=O)C4(C)C)C32C)C1=O
1,1,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C(=O)C1(C)C3(C)CCC(C)(C)C3CC21C
2,2,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
3,3,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC23C)C1=O
4,4,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C(=O)C2(C)C1(C)CCC2C1CCC1(C)CCC21C
5,5,COC(=O)C1=CC2(C)CC3(C)CCC4C(C)(C)C(=O)CCC4(C)C3(C)C(C)(C1=O)C2=O
6,6,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
8,8,COC(=O)C1=CC2(C)CCC3(C)C4(C)CCC(C)(C)C(=O)C4CCC3(C)C(C)(C1=O)C2=O
9,9,COC(=O)C1=CC2(C)CCC3(C)C4CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
10,10,COC(=O)C1=CC2(C)CC3(C)C4C(C)(CCC(=O)C4(C)C)CCC3(C)C(C)(C1=O)C2=O
11,11,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1(C)C2(C)CCC2(C)C(C)(C)C(=O)CCC21C
12,12,COC(=O)C1=CC2(C)CC3(C)C4(C)CC(=O)C(C)(C)C4CCCC3(C)C(C)(C1=O)C2=O
13,13,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C(=O)C1(C)C2C(C)(C)C2CC(C)(C)CCC21C
14,14,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CC3C4(C)CCC(=O)C(C)(C)C4CCC32C)C1=O
15,15,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C1(C)CCC(=O)C3(C)CC(C)(CCC31)C2(C)C
16,16,COC(=O)C1=CC2(C)CC3C4(C)CCC(=O)CCC4(C)CCC3(C)C(C)(C1=O)C2=O
17,17,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1(C)C(C)(C)C3CC(C)(C)CCC3(C)C1(C)C2=O
18,18,COC(=O)C1=CC2(C)C(=O)C(=O)C(C)(C1=O)C(C)(C)C1CCC(C)(C)C(C)(C)C12C
19,19,COC(=O)C1=CC2(C)CC3(C)C(CCC4(C)C(C)(C)C(=O)CCC34C)C(C)(C1=O)C2=O
20,20,COC(=O)C1=CC2(C)CC3C4C(C)(C)C(=O)C(C)(C)C4(C)CCC3(C)C(C)(C1=O)C2=O
21,21,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1CC(C)(C)CC3C(C)(C)C(=O)CCC3(C)C12C
22,22,COC(=O)C1=CC2(C)C(=O)C3C4(C)CCC(C)(C)CC4(C)CCC3(C)C(C)(C1=O)C2=O
23,23,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C(=O)C1(C)CC(C)(C)CC3(C)CCC2(C)C31C
24,24,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
25,25,COC(=O)C1=CC2(C)C(=O)C(C)(CCC3(C)C2C2(C)CCC(=O)C(C)(C)C2C3(C)C)C1=O
26,26,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1(C)CCC3C(C)(C)C(=O)C=CC3(C)C1C2(C)C
27,27,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C(=O)C1(C)CC3C(C)(C)CCC(C)(C)C3(C)C21C
28,28,COC(=O)C1=C(C)C2(C)CC3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
29,29,COC(=O)C1=CC2(C)C(=O)C3(C)CC4C(C)(CCC2(C)C4(C)CCC(=O)C3(C)C)C1=O
30,30,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
31,31,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C1(C)CCC(C)(C)C(C)(C)C1(C)C2=O
32,32,COC(=O)C1=CC2(C)CC3(C)CCC4CC(=O)CCC4(C)CCC3(C)C(C)(C1=O)C2=O
33,33,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C(C)(C)C1(C)CCC3C(C)(C)C(=O)CC3(C)C21C
34,34,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C(=O)C1(C)C3(C)CCC(C)(C)CC3CCC21C
35,35,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1(C)CCCC3(C)C(=O)CCC2(C)C(C)(C)C31
36,36,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1C2C(C)(C)CCC2(C)C(C)(C)C(=O)CCC12C
37,37,COC(=O)C1=C(C)C2(C)CC3(C)CC=C4C(=O)CCCC4CCC3(C)C(C)(C1=O)C2=O
38,38,COC(=O)C1=C(C)C2(C)CC3(C)CCC4C(C)(C)C(=O)CCC4(C)C3C(C)(C1=O)C2=O
39,39,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
40,40,COC(=O)C1=CC2(C)CC3C(C)(CCC4C(C)(C)C(=O)CC(C)(C)C43C)C(C)(C1=O)C2=O
41,41,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
42,42,COC(=O)C1=C(C)C2(C)C(=O)C3(C)CC4CC(C)(C)CC4CCC3(C)C(C)(C1=O)C2=O
43,43,COC(=O)C1=CC2(C)C(=O)C(C)(CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC23C)C1=O
44,44,COC(=O)C1=C(C)C2(C)CC3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
45,45,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C(C)(C)C1C(C)(C)C(=O)CCC1(C)C2(C)C
46,46,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CCC2(C)C2(C)CCC(C)(C)C3CCC32)C1=O
47,47,COC(=O)C1=CC2(C)CC3C(C)(CCC4(C)C(C)(C)C(=O)CCC34C)C(C)(C1=O)C2=O
48,48,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CC3(CC(=O)C4CC(C)(C)CCC43)C2(C)C)C1=O
49,49,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1(C)CCC3C(CCC(=O)C3(C)C)C1(C)C2(C)C
50,50,COC(=O)C1=CC2(C)C(=O)C(C)(CC34CCC5(C)C(=O)C(C)(C)C(CCC53)CC24C)C1=O
51,51,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
52,52,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(C)(CCC3(C)C(C)(C1=O)C2=O)CC(=O)C4
53,53,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C(C)(C(C)=O)C1(C)C(C)(C)C3(C)CCCC231
54,54,COC(=O)C1=CC2(C)CC3(C)C(C)(CCC4CCC(=O)C(C)(C)C43C)C(C)(C1=O)C2=O
55,55,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
56,56,COC(=O)C1=CC2(C)CC3C4CCC(C)(C2=O)C(C)(C1=O)C3(C)CCCC(=O)C4(C)C
57,57,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1(C)C3(C)CC(=O)C(C)(C)C3CCC1(C)C2(C)C
58,58,COC(=O)C1=CC2(C)CC3C4CCC(CCC(C)(C)C3(C)C(C)(C1=O)C2=O)C(=O)C4(C)C
59,59,COC(=O)C1=C(C)C2(C)CC3(C)C4(C)C(=O)CC(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
60,60,CCC12CC(C)(C)C3C(C)(C)C(=O)CCC3(C)C(C)(C1=O)C(C)=C(C(=O)OC)C2=O
61,61,COC(=O)C1=CC2(C)CC3(C)CC4CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
62,62,COC(=O)C1=CC2(C)C(C)(C)CCC3(C)CC4C(C)(C)C(=O)CCC4(CC32C)C1=O
63,63,COC(=O)C1=C2C3C(C)(C)CC4(C)CCC2(C)C(C)(C1=O)C(=O)C3(C)CC(=O)C4(C)C
64,64,COC(=O)C1=C(C)C2(C)CC3(C)C4C(C)(C)C(=O)CCC4(C)C3(C)C(C)(C1=O)C2=O
65,65,COC(=O)C1=CC2(C)CC3C4(C)CCC(=O)C(C)(CC4)C3(C)C(C)(C)C(C)(C1=O)C2=O
66,66,COC(=O)C1=CC2(CCC(C)C)C(=O)C3C(C)(C)CC(C)(C)CC3(C)C(C)(C1=O)C2=O
67,67,COC(=O)C1=CC2(C)CC3(C)C4(C)CC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
68,68,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
69,69,COC(=O)C1=CC2(C)CC(C)(C1=O)C1(C)CCC(C)(C)C3(C)C(=O)C2(C)CCC3(C)C1=O
70,70,CCC1C2CCC3C4(C)C(=O)C(C(=O)OC)=CC(C)(CC3(C)C2(C)C(=O)CC1(C)C)C4=O
71,71,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
72,72,COC(=O)C1=CC2(C)CC3(C)C4(C)CC(=O)C(C)(C)CC4CCC3(C)C(C)(C1=O)C2=O
73,73,COC(=O)C1=CC2(C)CCC3(C)C4(C)CC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
74,74,COC(=O)C1=C(C)C2(C)C(=O)C3(C)CC4CCC(C)(C(=O)C2(C)CC4(C)C)C3(C)C1=O
75,75,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(C)CCC4(C)C(=O)C3(C)C(C)(C1=O)C2=O
76,76,COC(=O)C1=CC2(C)CCC(C)(C)C3(C)CCC(=O)C4(C)C(=O)C3(C)C2(C)C4(C)C1=O
77,77,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C1(C)CCC(C)(C)CCC1(C)C2(C)C
78,78,COC(=O)C1=CC2(C)CC3C(C)(CCC4(C)C(C)(C)C(=O)CCC34C)C(C)(C1=O)C2=O
79,79,COC(=O)C1=C(C)C2(C)CC3(C)C4CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
80,80,COC(=O)C1=CC2(C)C(=O)C(C)(CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC23C)C1=O
81,81,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C(C)(C)C1C3(C)CCC(=O)C(C)(C)C3CCC12C
82,82,COC(=O)C1=CC2(C)CC(C3(C)CCCC4C(C)C(=O)CCC43C)CC(C)(C1=O)C2=O
84,84,COC(=O)C1=C(C)C2CCC3(CC3)C3(C)C(=O)C(C)(C1=O)C(C)(C)C(C)(C3=O)C2(C)C
85,85,COC(=O)C1=CC2(C)CC3C4(C)CCCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
86,86,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
87,87,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
88,88,COC(=O)C1=C(C)C(=O)C2CC3(C)C(C)(C)C4CCC3(C)C(C)(C)C4(C)C(=O)C2(C)C1=O
89,89,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CC3C4(C)CCC(=O)C(C)(C)C4CCC32C)C1=O
90,90,COC(=O)C1=CC2(C)CC3(C)CC(C)(C4C(C)(C)CC(=O)CCC43C)C(C)(C1=O)C2=O
91,91,COC(=O)C1=CC2(C)CC3C4(C)CCC(=O)C(C)(C)CC4CCC3(C)C(C)(C1=O)C2=O
92,92,COC(=O)C1=CC(C)(C)C(=O)C(C)(C(C)(C)C2=CC3(CCCC3=O)CCC2(C)C)C1=O
93,93,COC(=O)C1=CC2(C)C(=O)C(C)(CC3(C)C2CCC2(C)C(C)(C)C(=O)CCC32C)C1=O
94,94,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
95,95,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
96,96,CCC12CCC3CC4(C)C=C(C(=O)OC)C(=O)C(C)(C4=O)C3(C)C1(C)CCC(C)(C)C2=O
97,97,COC(=O)C1=CC2(C)CC3(C)CCC4C(C)(C)C(=O)CCC4(C)C3(C)C(C)(C1=O)C2=O
98,98,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1(C)CC(CC3C(C)(C)C(=O)CC31C)C2(C)C
99,99,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C(C)(C)C1(C)C2CC2C(C)(C)C(=O)CCC21C
100,100,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1(C)C(CCC3C(C)(C)C(=O)CCC31C)C2(C)C
101,101,COC(=O)C1=CC2(C)CC3(C)C4(C)CC4C(C)(C)C(=O)CCCC3(C)C(C)(C1=O)C2=O
102,102,CCOC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C(C)(C)C1(C)CCC(=O)C(C)(C)C21C
103,103,CCOC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C(C)(C)C1C2CCC2C(C)(C)C(=O)CCC21C
104,104,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1(C)CCC(=O)C(C)(C)C(C)(C)C2(C)C1(C)C
105,105,COC(=O)C1=CC2(C)CC3C4(C)CCC(C)(C)C(=O)C4CCC3(C)C(C)(C1=O)C2=O
106,106,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1C3CCC(=O)C(C)(C)C3CCC1(C)C2(C)C
107,107,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
108,108,COC(=O)C1=CC2(C)C(=O)C3CCC4(C)C(CCC(C)(C)C4(C)C)C3(C)C(C)(C1=O)C2=O
109,109,COC(=O)C1=CC2(C)CC3C4(C)CC(C)(C)CCC4C(=O)CCC3(C)C(C)(C1=O)C2=O
110,110,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1(C)CCC3C(C)(C)CCC3(C)C1(C)C2=O
111,111,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
112,112,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CC3C4(C)CCC(C)(C)CC4CCC32C)C(=O)C1=O
113,113,COC(=O)C1=CC2(C)C(=O)C(C)(CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC23C)C1=O
114,114,COC(=O)C1=C(C)C2(C)C3(C)CCC4C(C)(C)C(=O)CCC4(C)C2(C)C(=O)C3(C)C1=O
115,115,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
116,116,COC(=O)C1=CC2(C)CC3C4C(CCC3(C)C(C)(C1=O)C2=O)C(C)(C)C(=O)CC4(C)C
117,117,COC(=O)C1=CC2(C)CC3C4(C)CC(C)(C)C(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
118,118,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C1(C)C3(C)CCC(=O)C(C)(C)C3CCC21C
119,119,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1(C)C3CC(CCC(=O)C3(C)C)C(C)(C)C21C
120,120,COC(=O)C1=C(C)C2(C)CC3C(C)(C)CC(C)(C)C(=O)CCC3(C)C(C)(C1=O)C2=O
121,121,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
122,122,COC(=O)C1=CC2(C)C(=O)C(C)(CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC23C)C1=O
123,123,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1(C)C3(C)CCCC(C)(C)CC3CCC21C
124,124,COC(=O)C1=CC2(C)CC3(C)C4(C)CC(=O)C4(C)CCC(C)(C)C3(C)C(C)(C1=O)C2=O
125,125,COC(=O)C1=CC2(C)C(=O)C(C)(CC3C2(C)CCCC2(C)C(C)C(=O)CCC32C)C1=O
126,126,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C(C)C1C3(C)CCC(=O)C(C)(C)C3CCC12C
128,128,COC(=O)C1=CC2(C)CC3(C)C4(C)CC(C)(C)CC4C(=O)CCC3(C)C(C)(C1=O)C2=O
129,129,COC(=O)C1=CC2(C)C(=O)C(C)(CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC23C)C1=O
130,130,COC(=O)C1=CC2(C)C(=O)C(C)(CC3(C)C4(C)CCC(CCC23C)C(=O)C4(C)C)C1=O
131,131,COC(=O)C1=CC2(C)CC3C4CC(C)(C)C(=O)C(C)(C)C4(C)CCC3(C)C(C)(C1=O)C2=O
132,132,COC(=O)C1=CC2(C)CC3(C)C(C)(CC4C(C)(C)CC(=O)C(C)(C)C43C)C(C)(C1=O)C2=O
133,133,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1(C)CCC3C(=O)CCC3(C)C1(C)C2(C)C
134,134,COC(=O)C1=C(C)C2(C)CCC3(C)C4(C)CCC(C(C)=O)C4CCC3(C)C(C)(C1=O)C2=O
135,135,COC(=O)C1=CC2(C)C(=O)C(C)(CC3C4(C)C(=O)C(C)(C)CCC4CCC32C)C1=O
136,136,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
137,137,COC(=O)C1=C(C)C2(C)CC3(C)CCC4(C)C(=O)CCC4(C)C3(C)C(C)(C1=O)C2=O
138,138,COC(=O)C1=CC2(C)CC3C4(C)CCC(=O)C(C)(C)C4CCCC3(C)C(C)(C1=O)C2=O
139,139,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1(C)CC(C)(C)C(C)(C)C(=O)C(C)(C)C21C
140,140,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C(=O)C1(C)C2CCC2CCC1(C)CCC2(C)C
141,141,COC(=O)C1=C(C)C2(C)CC3(C)C(CCC4C(C)(C)C(=O)CCC43C)C(C)(C1=O)C2=O
142,142,COC(=O)C1=CC2(C)CC3(C)C(C(C)(C1=O)C2=O)C(C)(C)C1CCC(=O)C(C)(C)C13C
143,143,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
144,144,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C(C)(C)C1(C)CCC3C(=O)CCC3(C)C21C
145,145,COC(=O)C1=CC2(C)CC3(C)C4(C)CCCC(=O)C(C)(C)C4CC3(C)C(C)(C1=O)C2=O
146,146,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1CC3C(C)(C)C(C)(C)CCC3(C)C1(C)C2=O
148,148,COC(=O)C1=CC2(C)C(=O)C(C)(CC3C4(C)CCCC(=O)C(C)(C)C4CCC32C)C1=O
149,149,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C1(C)CCC(C)(C)C(C)(C)C1(C)C2=O
150,150,COC(=O)C1=CC2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
151,151,COC(=O)C1=CC2(C)C(=O)C3C(C)(C)C4CCC(C)(C)CC4(C)C3(C)C(C)(C1=O)C2=O
152,152,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C(=O)C1C3(C)CCC(C)(C)C(C)(C)C3CCC12C
153,153,COC(=O)C1=CC2(C)C(=O)C(C)(CC3C4(C)CCC(=O)C(C)(C)CC4CCC32C)C1=O
154,154,COC(=O)C1=CC2CC3C(C(C)(C)C4=CC(C)(C)C(=O)CC4)CCC3(C)C(C)(C1=O)C2=O
155,155,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C(=O)C1(C)C3(C)CCC(C)(C)CC3CCC21C
156,156,COC(=O)C1=C(C)C2(C)CC3(C)C4(C)CCC(=O)C(C)(C)C4CCC3(C)C(C)(C1=O)C2=O
157,157,COC(=O)C1=C(C)C2(C)CC3(C)C(C)=C(C)C(=O)C(C)(C)CCC3C(C)(C1=O)C2=O
158,158,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1(C)C(=O)C1(C)C1(C)CCC(C)(C)CCC21C
159,159,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1(C)CCC3C(C)(C)CCCC3(C)C1(C)C2=O
160,160,COC(=O)C1=C(C)C2(C)C(=O)C(C)(C1=O)C1(C)CCC3C(C)(C)C(=O)CCC3(C)C21C
161,161,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CC3(C)C(C)(C)C(=O)CC(C)(C)CC23C)C1=O
162,162,COC(=O)C1=CC2(C)CC(=O)CCC3C4C(C)(CCC4(C)C3(C)C)C(C)(C1=O)C2=O
163,163,COC(=O)C1=C(C)C2(C)C(=O)C(C)(CC3(C)C4CCC(=O)C(C)(C)C4CCC23C)C1=O
164,164,COC(=O)C1=CC2(C)C(=O)C(C)(CC3(C)C4(C)C(=O)CCC(C)(C)C4CCC23C)C1=O
165,165,COC(=O)C1=C(C)C2(C)CC3C(CCC4C(C)(C)C(=O)CCC34C)C(C)(C1=O)C2=O
166,166,COC(=O)C1=CC2(C)CCC3(C)C4(C)CC4(C)CC(=O)C3(C)C(C)(C)C(C)(C1=O)C2=O
167,167,COC(=O)C1=CC2(C)C(=O)C(C)(C1=O)C1(C)CCC3CC(C)(C)CCC3(C)C1(C)C2=O
168,168,COC(=O)C1=CC2(C)C(=O)C(C)(CC3(C)CCC4C(C)(C)C(=O)CCC4(C)C32C)C1=O
