,Smiles
0,CCc1cc(C(C)(C)CC)cc2oc(=O)c(C(=O)OC)c(O)c12
1,CCC(=O)c1c(O)c(C(=O)OC)c2c3c(ccc2c1C)C=CC(=O)CC3
2,COC1C(=O)CC(=O)C2C1(C)CC(C)(C)C1(O)C(C)(C)C(=O)C(=O)CCC21C
3,C=C(C)OC(=O)CC(=O)c1c(C)c(C)c2oc3ccccc3c(O)c1-2
4,CC(=O)OC(C)(C)c1ccc2ccc(S(=O)(=O)C=C(C)C)cc2c1O
5,COC(=O)C1=C(C)Cc2cc(O)c3cc([N+](=O)[O-])ccc3c2C1=O
6,CC(C)=Cc1c(C(=O)CCCC#N)c(O)cc2coc(=O)cc12
7,COC(=O)C1(C)C(=O)C(C)=Cc2cc(O)c3cc(Br)ccc3c2C1=O
8,COC(=O)c1cc2c3ccccc3c(O)c(=O)c-2c2c(oc3ccccc32)c1C
9,COC(=O)c1ccc2c(=O)oc(-c3ccccc3C(C)=O)c-2c(O)c1
10,COC(=O)c1c(C2CC3(C)CCC(=O)C(=O)C3C(C)(C)C2=O)cc(C)c(O)c1C
11,COC(=O)C(C)=CC(C)(C)C#CC=C(O)C(=O)Oc1c(C)cc(C)cc1C
12,Cc1cc(C)c(C[S+](=O)([O-])C23CCCC4C2CC(=O)CC4(C)C3C)c(O)c1
13,CC(=O)OC(=O)Cc1cc(C)c2c(C(=O)OC(C)(C)C)cccc2c1O
14,CC1C(=O)C(=O)CC(=O)C1(C)OC(=O)c1cccc2c(O)c(Br)ccc12
15,COC(=O)C1=C(C2CCCCC2)c2nc(O)c(=O)c3ccccc3c2C(C)(C)C1=O
16,COC(=O)C12CCC(C)(C)CC1(C)C(=O)C(=O)c1c(O)ccc(C)c1C2=O
17,CC(=O)C(=O)c1c(COC(=O)c2c(C)c(C)cc(C)c2O)ccc2ccccc12
18,COC(=O)C1=C(C)CCC(=O)C1Cc1cccc2c(=O)c(O)coc12
19,CCN(C)S(=O)(=O)c1c(C(=O)OCC(C)C)c(O)c(C)c2ccccc12
20,COC(=O)c1c2c(c(=O)c(O)c3cc(C)ccc13)C(C(C)(C)C)CCC2=O
21,CCC1(C)C(=O)C2Cc3cc4ccccc4c(O)c3C3(C)CC2C(=O)C(C)(CC3=O)C1=O
22,COC(=O)c1c(Br)cc2c(S(=O)(=O)C=C(C)C)cccc2c1O
23,CCC1(C)C(=O)C(=O)C(=Cc2cc(C)nc(C)c2O)C(C)C1C(C)=O
24,C=C1C(=O)c2c(cc3ccc(C)cc3c2O)C(=O)C(C(=O)c2ccccc2)=C1C(=O)OC
25,CCOC(=O)C1=CC2=C(C(=O)C(C)(C)C1=O)C(C)=CC1=CC2=C1O
26,COC(=O)C1=C(C)CCC(=O)C1OC(=O)c1c(C)cc(O)c2ccccc12
27,COC(=O)c1cc2cccc(O)c(C)c-2c1C(=O)CC1C(=O)CCC(C)(C)C1=O
28,CCC(C)(C)C(=O)Oc1ccccc1-c1cc(C#N)n2c(C)ccnc12
29,COC(=O)C1=C(C(=O)c2c(C)cc3c(C)cc(C)cc(O)c2-3)C(=O)CCC1(C)C
30,CC(=O)c1cccc2oc(O)c(C(=O)OC(C)(C)C)c(=O)c12
31,COC(=O)c1cc2oc3ccc(C)cc(c3=O)c2c(C(C)C)c(O)c1=O
32,CC1=C2C(=O)C(C(=O)C(C)(C)C(=O)C3C(C)(C)C(=O)N(C)CC23C)C(O)=C1
33,CCC(C)(C)c1cc(O)c2c(=O)oc(C)c(C(=O)OC)c2c1
34,COC(=O)C1=C(C)C(=O)c2c(O)cccc2C(=O)C1=Cc1ccco1
35,COC(=O)C(C)=Cc1c(O)cc2c(C(=O)OC(C)(C)C)cccc2c1C
36,C#CC(CCc1c(C)c(C)c2cc(C(=O)OC)c(=O)oc2c1O)C(=C)C
37,COC(=O)C1(C)Cc2c(cc(O)c(=O)c3ccccc23)C(=O)C1c1cccc(C)c1
38,CCC(C#CCCCCCCCC#Cc1ccc(Br)c(C(C)=O)c1O)C(=O)OC
39,COC(=O)c1ccc2cc(C(C)C(C)=O)c(C=O)c(O)c2c1C(C)=O
40,C=C1C(=O)c2c(C(=O)OC)c(O)c3ccccc3c2C(=O)C1(C(C)=O)C(C)C
41,COC(=O)C1=C(C)C2CC3(C)C(C(=O)C(C)(C)C)CCC3C2(O)C(C)(C)C1=O
