,Round,Total mols,Valid mols without duplicate mols,Duplicate mols,Validity,Filtered mols,Filtered rate
0,Retrain_0,1280,37,0,0.02890625,0,0.0
1,Retrain_1,1280,35,0,0.02734375,0,0.0
2,Retrain_2,1280,60,0,0.046875,0,0.0
3,Retrain_3,1280,55,0,0.04296875,1,0.01818181818181818
4,Retrain_4,1280,37,0,0.02890625,0,0.0
5,Retrain_5,1280,47,1,0.03671875,0,0.0
6,Retrain_6,1280,19,0,0.01484375,0,0.0
7,Retrain_7,1280,50,0,0.0390625,0,0.0
8,Retrain_8,1280,63,0,0.04921875,0,0.0
9,Retrain_9,1280,49,0,0.03828125,0,0.0
10,Retrain_10,1280,41,0,0.03203125,0,0.0
11,Retrain_11,1280,9,0,0.00703125,0,0.0
12,Retrain_12,1280,50,0,0.0390625,0,0.0
13,Retrain_13,1280,35,0,0.02734375,0,0.0
14,Retrain_14,1280,44,0,0.034375,0,0.0
15,Retrain_15,1280,99,0,0.07734375,0,0.0
16,Retrain_16,1280,46,0,0.0359375,7,0.15217391304347827
17,Retrain_17,1280,34,0,0.0265625,1,0.029411764705882353
18,Retrain_18,1280,74,0,0.0578125,0,0.0
19,Retrain_19,1280,70,0,0.0546875,2,0.02857142857142857
20,Retrain_20,1280,37,0,0.02890625,0,0.0
21,Retrain_21,1280,84,0,0.065625,9,0.10714285714285714
22,Retrain_22,1280,60,0,0.046875,1,0.016666666666666666
23,Retrain_23,1280,78,0,0.0609375,4,0.05128205128205128
24,Retrain_24,1280,174,0,0.1359375,54,0.3103448275862069
25,Retrain_25,1280,93,0,0.07265625,8,0.08602150537634409
26,Retrain_26,1280,15,0,0.01171875,0,0.0
27,Retrain_27,1280,92,0,0.071875,3,0.03260869565217391
28,Retrain_28,1280,112,0,0.0875,4,0.03571428571428571
29,Retrain_29,1280,313,0,0.24453125,49,0.15654952076677317
30,Retrain_30,1280,414,0,0.3234375,122,0.2946859903381642
31,Retrain_31,1280,664,0,0.51875,229,0.34487951807228917
32,Retrain_32,1280,993,18,0.77578125,505,0.5085599194360524
33,Retrain_33,1280,1084,103,0.846875,694,0.6402214022140221
