,Model name,Epoch,Loss,Val_loss,Learning rate
0,model,1,0.6963,0.7257,3.162277789670043e-05
1,model,2,0.656,0.7687,3.162277789670043e-05
2,model,3,0.6535,0.7875,3.162277789670043e-05
3,model,4,0.6208,0.7748,3.162277789670043e-05
4,model,5,0.6254,0.7898,3.162277789670043e-05
5,model,6,0.6003,0.7735,3.162277789670043e-05
6,model,7,0.5983,0.7938,3.162277789670043e-05
7,model,8,0.5864,0.784,3.162277789670043e-05
8,model,9,0.5693,0.7923,3.162277789670043e-05
9,model,10,0.5813,0.7858,3.162277789670043e-05
10,model,11,0.5561,0.8064,3.162277789670043e-05
11,model,12,0.5517,0.7864,3.162277789670043e-05
12,model,13,0.5452,0.7613,3.162277789670043e-05
13,model,14,0.549,0.7532,3.162277789670043e-05
14,model,15,0.5351,0.7597,3.162277789670043e-05
15,model,16,0.5388,0.7384,3.162277789670043e-05
16,model,17,0.5221,0.7256,3.162277789670043e-05
17,model,18,0.5133,0.7099,3.162277789670043e-05
18,model,19,0.5154,0.7039,3.162277789670043e-05
19,model,20,0.5126,0.7094,3.162277789670043e-05
20,model,21,0.5053,0.7071,3.162277789670043e-05
21,model,22,0.4951,0.6852,3.162277789670043e-05
22,model,23,0.4914,0.689,3.162277789670043e-05
23,model,24,0.4878,0.6808,3.162277789670043e-05
24,model,25,0.4942,0.6713,3.162277789670043e-05
25,model,26,0.4736,0.6661,3.162277789670043e-05
26,model,27,0.4781,0.6684,3.162277789670043e-05
27,model,28,0.468,0.6632,3.162277789670043e-05
28,model,29,0.4723,0.6454,3.162277789670043e-05
29,model,30,0.4604,0.6433,3.162277789670043e-05
30,model,31,0.4592,0.6364,3.162277789670043e-05
31,model,32,0.4545,0.6111,3.162277789670043e-05
32,model,33,0.4554,0.6353,3.162277789670043e-05
33,model,34,0.4571,0.6351,3.162277789670043e-05
34,model,35,0.4427,0.6273,3.162277789670043e-05
35,model,36,0.4362,0.6078,3.162277789670043e-05
36,model,37,0.4411,0.6245,3.162277789670043e-05
37,model,38,0.4393,0.61,3.162277789670043e-05
38,model,39,0.4333,0.6124,3.162277789670043e-05
39,model,40,0.4378,0.608,3.162277789670043e-05
40,model,41,0.4325,0.5981,3.162277789670043e-05
41,model,42,0.4323,0.5987,3.162277789670043e-05
42,model,43,0.4351,0.6046,3.162277789670043e-05
43,model,44,0.4216,0.5953,3.162277789670043e-05
44,model,45,0.4323,0.6054,3.162277789670043e-05
45,model,46,0.4245,0.5807,3.162277789670043e-05
46,model,47,0.4106,0.5798,3.162277789670043e-05
47,model,48,0.4206,0.5631,3.162277789670043e-05
48,model,49,0.413,0.5768,3.162277789670043e-05
49,model,50,0.4165,0.5759,3.162277789670043e-05
50,model,51,0.4048,0.5882,3.162277789670043e-05
51,model,52,0.4093,0.5716,3.162277789670043e-05
52,model,53,0.411,0.587,3.162277789670043e-05
53,model,54,0.4056,0.5665,3.162277789670043e-05
54,model,55,0.411,0.57,3.162277789670043e-05
55,model,56,0.4026,0.5609,3.162277789670043e-05
56,model,57,0.4027,0.5654,3.162277789670043e-05
57,model,58,0.4047,0.5511,3.162277789670043e-05
58,model,59,0.3969,0.5564,3.162277789670043e-05
59,model,60,0.4026,0.5567,3.162277789670043e-05
60,model,61,0.4012,0.5685,3.162277789670043e-05
61,model,62,0.3938,0.538,3.162277789670043e-05
62,model,63,0.391,0.5485,3.162277789670043e-05
63,model,64,0.3914,0.5542,3.162277789670043e-05
64,model,65,0.3911,0.5363,3.162277789670043e-05
65,model,66,0.3891,0.538,3.162277789670043e-05
66,model,67,0.3907,0.5443,3.162277789670043e-05
67,model,68,0.3882,0.54,3.162277789670043e-05
68,model,69,0.3848,0.5397,3.162277789670043e-05
69,model,70,0.3884,0.5275,3.162277789670043e-05
70,model,71,0.3873,0.5253,3.162277789670043e-05
71,model,72,0.387,0.5297,3.162277789670043e-05
72,model,73,0.3805,0.5215,3.162277789670043e-05
73,model,74,0.3823,0.5375,3.162277789670043e-05
74,model,75,0.3759,0.5303,3.162277789670043e-05
75,model,76,0.3855,0.5323,3.162277789670043e-05
76,model,77,0.3762,0.5238,3.162277789670043e-05
77,model,78,0.3759,0.5178,3.162277789670043e-05
78,model,79,0.3734,0.5261,3.162277789670043e-05
79,model,80,0.3742,0.526,3.162277789670043e-05
80,model,81,0.3761,0.5066,3.162277789670043e-05
81,model,82,0.3715,0.5207,3.162277789670043e-05
82,model,83,0.371,0.5141,3.162277789670043e-05
83,model,84,0.3683,0.515,3.162277789670043e-05
84,model,85,0.3693,0.518,3.162277789670043e-05
85,model,86,0.3663,0.5182,3.162277789670043e-05
86,model,87,0.3684,0.5198,3.162277789670043e-05
87,model,88,0.3644,0.5047,3.162277789670043e-05
88,model,89,0.3644,0.509,3.162277789670043e-05
89,model,90,0.367,0.5029,3.162277789670043e-05
90,model,91,0.3608,0.4955,3.162277789670043e-05
91,model,92,0.3615,0.5048,3.162277789670043e-05
92,model,93,0.368,0.5049,3.162277789670043e-05
93,model,94,0.3621,0.5075,3.162277789670043e-05
94,model,95,0.3693,0.5051,3.162277789670043e-05
95,model,96,0.3627,0.4927,3.162277789670043e-05
96,model,97,0.3561,0.5145,3.162277789670043e-05
97,model,98,0.3579,0.5012,3.162277789670043e-05
98,model,99,0.3553,0.499,3.162277789670043e-05
99,model,100,0.365,0.4937,3.162277789670043e-05
100,model,101,0.3567,0.4864,3.162277789670043e-05
101,model,102,0.3592,0.4988,3.162277789670043e-05
102,model,103,0.3561,0.4927,3.162277789670043e-05
103,model,104,0.3603,0.5025,3.162277789670043e-05
104,model,105,0.3592,0.4981,3.162277789670043e-05
105,model,106,0.3559,0.4969,3.162277789670043e-05
106,model,107,0.3538,0.5059,3.162277789670043e-05
107,model,108,0.3494,0.4932,3.162277789670043e-05
108,model,109,0.3547,0.4968,3.162277789670043e-05
109,model,110,0.3519,0.4904,3.162277789670043e-05
110,model,111,0.3497,0.4878,3.162277789670043e-05
111,model,112,0.3467,0.4977,3.162277789670043e-05
112,model,113,0.3469,0.4895,3.162277789670043e-05
113,model,114,0.3502,0.4942,3.162277789670043e-05
114,model,115,0.3481,0.4835,3.162277789670043e-05
115,model,116,0.3481,0.4849,3.162277789670043e-05
116,model,117,0.3528,0.4931,3.162277789670043e-05
117,model,118,0.3447,0.4874,3.162277789670043e-05
118,model,119,0.3482,0.4819,3.162277789670043e-05
119,model,120,0.3505,0.4901,3.162277789670043e-05
120,model,121,0.3414,0.4941,3.162277789670043e-05
121,model,122,0.3469,0.4791,3.162277789670043e-05
122,model,123,0.3423,0.483,3.162277789670043e-05
